crime_rate,gdp_capita,minority_percentage,freedom,infrastructure,life_expectancy,price_food,price_water,price_energy,price_housing,tax_progressiveness,openness,neuroticism,consciencitiousness,agreeableness,extraversion,intelligence,racism,skepticism,ambition,loyalty,local,national,income,job_satisfaction,age,education,crime_themselves,crime_on_him,tolerance,community,unemployment_time,personal_taxes_level,security,risk_aversion,public_spending,cost_of_living,minorities_support,stability,job_security,future_outlook,equality_markets,nation_globe,liberty_authority,tradition_progress
2.243,104433,0.165,0.631,0.867,77.4,464.771,215.434,5113.433,141678,0.138,-0.42,-0.361,0.03,-0.292,-0.391,0.017,-0.083,0.815,0.113,-0.639,-0.422,-0.557,0.239,-0.029,19,0.129,0.022,0.691,-0.269,-0.358,0.441,0.167,0.188,0.549,0.006,0.582,-0.006,0.648,0.116,-0.669,-0.64,-0.82,0.697,-0.425
1.88,97741,0.208,0.605,0.85,78.9,431.378,220.731,5050.326,136193,0.369,0.234,-0.689,0.416,0.288,0.104,0.132,0.135,0.638,0.785,-0.204,0.603,0.672,0.181,-0.175,19,0.167,0.118,0.311,0.059,0.367,0.879,-0.6,0.946,-0.064,0.022,0.555,0.735,0.678,0.704,0.825,0.731,-0.69,-0.774,0.476
1.615,99990,0.181,0.634,0.922,79.4,459.845,216.523,5266.174,149991,0.269,0.217,-0.559,-0.009,-0.35,-0.634,-0.139,-0.608,0.554,0.246,0.655,0.596,0.62,0.525,-0.767,38,0.055,0.071,0.15,0.637,0.578,0.272,-0.073,-0.408,0.056,0.414,0.58,0.12,0.018,-0.197,-0.177,0.28,0.796,-0.913,1.0
1.782,99199,0.174,0.552,0.943,81.6,433.139,220.801,5129.971,142787,0.263,-0.573,0.209,-0.808,-0.634,-0.767,0.192,0.521,0.433,-0.575,0.218,0.012,0.095,0.208,0.856,28,0.262,0.054,0.229,-0.737,-0.694,0.826,0.102,0.614,-0.612,0.085,0.545,-0.696,0.375,0.159,-0.748,-0.015,-0.547,-0.115,-0.348
1.783,89818,0.189,0.574,0.92,79.8,472.209,222.741,5373.09,138430,0.248,-0.708,-0.582,-0.534,-0.559,-0.44,0.023,-0.184,0.201,0.654,0.097,0.047,-0.123,0.248,-0.01,17,-0.02,0.141,0.285,0.24,0.377,0.218,-0.554,-0.023,-0.025,0.337,0.652,0.389,-0.039,0.41,0.017,-0.491,0.404,-0.119,0.746
1.579,98844,0.155,0.634,0.971,79.3,430.17,218.857,5199.92,155749,0.162,0.188,0.031,-0.205,-0.534,0.416,0.294,-0.838,0.491,0.385,-0.33,-0.17,-0.043,0.207,0.499,18,-0.012,0.038,0.291,0.703,0.279,0.084,0.336,0.751,-0.083,-0.009,0.464,-0.021,0.862,0.52,0.375,0.698,0.53,-1.0,0.96
1.111,96908,0.18,0.588,0.89,79.1,449.714,227.697,5255.495,143505,0.197,-0.16,-0.601,-0.418,-0.464,-0.59,0.201,0.288,0.374,1.0,-0.452,0.448,-0.239,0.166,-0.429,16,-0.021,0.069,0.29,0.028,0.321,0.864,-0.394,0.732,0.033,0.831,0.553,-0.586,-0.041,0.816,-0.05,0.042,0.789,0.961,0.616
1.498,103069,0.176,0.602,0.783,78.8,458.793,217.501,5240.76,150280,0.223,0.082,-0.017,0.163,-0.03,-0.16,0.351,-0.292,0.43,-0.077,0.23,0.558,0.408,0.206,0.412,17,0.145,0.075,0.497,0.392,0.038,0.049,-0.484,0.951,-0.008,0.68,0.555,0.541,-0.027,0.187,-0.012,0.566,0.924,-0.086,0.581
1.574,90956,0.179,0.526,0.966,78.9,455.551,221.184,5091.858,151600,0.296,-0.281,0.057,0.421,0.067,-0.54,0.009,-0.168,0.327,0.824,0.208,0.575,0.269,0.778,0.012,18,0.165,0.052,0.189,0.017,-0.161,0.221,-0.284,0.244,-0.018,0.356,0.561,0.371,-0.042,-0.062,0.04,-0.263,0.198,-0.654,0.271
1.847,89858,0.139,0.625,0.661,82.1,447.067,214.604,5373.043,140562,0.297,0.311,-0.77,0.374,0.403,0.371,0.096,-0.542,-0.796,1.0,1.0,1.0,1.0,0.518,0.944,16,0.121,0.022,0.035,0.462,1.0,0.058,0.182,1.0,1.0,0.074,0.592,0.999,0.988,1.0,0.994,1.0,1.0,-0.965,1.0
2.107,87525,0.164,0.672,0.818,80.6,462.583,219.861,5326.292,144740,0.152,0.233,0.034,0.217,0.022,-0.129,-0.256,-0.424,0.441,-0.019,0.226,0.634,0.445,0.191,0.386,17,0.238,0.137,0.537,0.361,-0.048,0.083,-0.168,0.91,-0.071,0.67,0.555,0.467,0.001,0.261,-0.003,0.571,0.81,0.032,0.721
2.256,96559,0.158,0.573,0.9,78.1,423.301,225.769,5290.152,146860,0.361,-0.446,0.396,0.209,0.404,-0.526,0.338,-0.292,-0.426,0.221,-0.225,0.166,0.184,0.246,0.608,18,0.263,0.135,0.28,0.367,0.398,0.023,-0.22,0.983,-0.077,0.959,0.525,0.472,-0.058,0.864,-0.131,0.588,-0.469,0.389,0.889
0.794,47050,0.094,0.615,0.404,80.6,366.828,213.809,5341.834,76829,0.293,0.14,-0.395,0.379,-0.155,0.188,0.441,-0.147,0.656,0.771,0.424,0.031,-0.216,0.164,0.578,18,0.166,0.098,0.789,-0.015,0.2,0.003,0.064,0.807,-0.003,1.0,0.376,0.45,-0.051,1.0,-0.011,0.191,-0.47,-0.326,0.77
1.491,50713,0.118,0.64,0.522,81.4,377.41,222.994,5127.959,77215,0.288,0.203,-0.401,0.33,-0.174,0.2,-0.181,0.382,0.646,0.809,0.382,-0.047,-0.183,0.249,0.722,18,0.129,0.055,0.794,-0.105,0.142,0.021,0.083,0.823,0.036,0.981,0.411,0.422,-0.015,0.997,0.068,0.194,-0.53,-0.348,0.745
0.951,51915,0.096,0.656,0.51,80.4,367.452,217.113,5043.332,91206,0.138,0.338,-0.287,0.349,0.005,-0.625,-0.145,-0.023,0.607,-0.345,-0.032,0.224,-0.207,0.562,-0.042,35,0.851,0.098,0.616,0.007,-0.325,0.217,0.29,0.514,-0.563,0.02,0.368,-0.104,0.325,-0.267,-0.562,-0.011,0.313,0.021,0.656
1.82,94234,0.165,0.633,0.843,81.6,458.855,219.074,5290.692,162047,0.363,0.223,-0.669,-0.044,-0.305,-0.615,0.337,-1.0,0.586,0.23,-0.406,0.599,0.444,0.23,0.459,19,-0.039,0.145,0.185,0.906,-0.356,0.396,0.124,1.0,0.002,0.896,0.586,0.938,-0.067,0.825,0.002,-0.524,0.085,-0.343,0.409
1.329,91931,0.19,0.619,0.852,78.9,441.033,222.974,5019.575,140590,0.135,0.121,0.194,-0.05,0.032,-0.46,0.299,-0.671,0.046,-0.205,-0.188,0.131,-0.158,0.554,0.043,19,0.011,0.134,0.332,0.803,0.189,0.411,-0.56,0.526,-0.845,0.004,0.582,0.501,0.344,0.29,-0.55,-0.407,0.272,-0.766,-0.075
1.787,103805,0.197,0.59,1.0,78.6,436.475,218.621,5227.23,157929,0.359,0.382,-0.094,0.423,0.036,-0.561,-0.013,-0.881,0.368,0.994,0.065,0.178,0.03,0.57,0.599,22,0.945,0.033,0.656,0.843,0.401,0.068,-0.525,0.722,0.951,0.032,0.552,0.978,0.714,1.0,0.99,1.0,0.991,0.947,0.983
2.407,89992,0.167,0.661,0.772,79.3,470.885,216.057,5216.486,143154,0.223,-0.497,-0.606,0.106,0.138,-0.503,0.103,-0.137,0.455,0.14,-0.425,-0.091,0.274,0.231,-0.043,18,0.219,0.124,0.149,0.176,0.41,0.816,-0.595,0.383,-0.016,0.56,0.603,0.51,-0.014,0.551,-0.086,-0.369,0.39,-0.923,-0.91
1.837,93391,0.118,0.579,0.99,80.3,413.476,218.261,5157.225,142035,0.25,0.377,-0.845,0.174,-0.259,-0.235,0.126,-0.863,0.586,-0.149,-0.496,0.21,-0.194,0.506,0.962,45,0.868,0.122,0.208,1.0,0.098,0.011,-0.025,0.59,0.856,0.025,0.474,0.493,0.458,0.443,-0.453,-0.547,0.066,-0.805,0.032
1.535,96777,0.208,0.614,0.868,80.4,480.309,221.901,5269.413,145526,0.216,0.224,-0.604,0.181,0.226,0.198,0.577,0.257,0.023,0.837,0.59,0.715,0.795,0.239,0.774,20,0.23,0.138,0.183,-0.273,0.988,0.049,0.34,0.996,0.045,1.0,0.615,0.483,-0.041,0.795,0.033,1.0,0.959,-0.022,-0.433
1.576,92714,0.217,0.7,0.949,79.2,423.642,219.11,5008.134,157665,0.265,0.22,-0.591,0.171,-0.39,0.265,0.428,-0.622,0.577,0.737,0.413,-0.072,0.408,0.211,0.511,16,0.246,0.017,0.082,0.86,0.566,0.094,0.642,0.658,-0.102,0.895,0.452,0.626,-0.04,0.98,-0.013,0.715,0.612,-0.426,0.551
2.158,94262,0.205,0.624,0.981,79.5,441.642,223.156,5273.892,149517,0.111,0.042,0.307,0.243,0.101,-0.027,0.429,-0.002,0.329,0.609,0.409,0.238,0.562,0.201,0.55,17,0.158,0.117,0.289,0.034,0.15,0.013,-0.593,0.746,-0.108,0.944,0.513,0.675,-0.052,0.7,0.061,0.506,1.0,0.86,0.769
2.107,93628,0.202,0.616,0.935,79.5,479.866,217.347,5368.145,152376,0.375,0.17,0.016,-0.179,0.359,0.021,0.29,-0.481,0.037,-0.046,-0.413,-0.127,-0.066,0.228,-0.074,23,0.665,0.086,0.074,0.514,-0.014,0.524,0.184,0.927,0.541,0.028,0.665,0.676,1.0,0.972,0.547,1.0,0.587,0.921,0.433
1.947,107417,0.194,0.621,0.791,79.0,447.753,226.99,5049.9,154520,0.194,0.186,0.178,-0.001,0.416,-0.604,0.576,0.306,0.539,0.977,0.247,-0.4,-0.377,0.25,-0.333,17,0.021,0.085,0.612,-0.064,-0.11,0.076,0.16,0.885,0.103,0.56,0.598,0.704,-0.036,0.74,0.042,0.337,0.357,0.802,0.361
2.101,94303,0.164,0.774,0.808,82.2,466.403,219.42,4848.742,140591,0.36,-0.123,-0.516,-0.061,-0.366,-0.553,-0.084,0.256,-0.013,-0.559,0.016,-0.368,-0.418,0.467,-0.369,22,0.886,0.059,0.493,-0.003,-0.368,0.008,-0.558,0.346,-0.022,0.379,0.617,0.069,-0.029,0.062,0.072,-0.373,-0.274,0.454,0.34
1.858,92454,0.194,0.685,0.765,80.4,423.808,217.187,5115.172,145688,0.305,0.431,-0.223,-0.448,-0.029,-0.581,0.473,-0.102,0.818,-0.751,-0.37,0.242,0.229,0.244,0.639,29,0.847,0.12,0.5,-0.044,0.771,0.041,0.219,0.998,-0.019,0.608,0.473,0.691,0.043,0.751,0.099,0.321,-0.28,-0.743,0.768
2.069,93940,0.181,0.597,0.882,81.7,441.002,219.978,5217.106,145041,0.178,0.334,-0.181,-0.591,0.393,-0.558,0.222,-0.719,0.366,0.436,-0.492,0.56,-0.234,0.535,0.029,28,0.638,0.069,0.491,0.73,0.429,0.054,0.507,0.515,0.34,0.027,0.538,1.0,0.959,0.65,-0.822,0.065,0.874,-0.004,0.674
0.895,47009,0.06,0.624,0.249,82.3,376.29,216.56,4814.882,62793,0.151,0.41,-0.82,0.211,0.356,0.372,0.07,-1.0,-0.321,-0.014,-0.609,0.452,-0.129,0.239,0.008,20,0.145,0.06,0.514,0.989,1.0,0.233,0.371,1.0,0.516,-0.003,0.406,1.0,1.0,0.97,0.478,0.028,-0.381,-0.992,0.019
1.444,88769,0.151,0.627,0.86,76.1,456.906,223.875,5364.198,158787,0.227,-0.444,0.177,0.199,0.266,-0.851,0.09,0.384,0.699,0.023,-0.607,-0.427,-0.55,0.221,-0.527,19,0.183,0.144,0.308,-0.206,0.246,0.717,0.006,0.148,0.044,0.93,0.563,-0.636,-0.01,0.993,-0.03,-0.85,0.4,1.0,0.422
1.819,96551,0.172,0.609,0.799,76.5,457.629,210.615,5283.732,157821,0.168,-0.204,0.208,0.033,-0.191,-0.382,-0.035,-0.119,0.36,0.361,0.684,0.192,0.215,0.18,-0.831,16,0.035,0.075,0.189,0.005,-0.597,0.687,0.257,0.088,0.004,0.215,0.524,0.092,0.064,0.034,-0.048,0.211,0.724,-0.733,0.325
1.724,89788,0.203,0.699,0.944,79.2,447.186,216.125,5217.688,146418,0.183,-0.352,-0.424,-0.061,-0.233,-0.424,0.486,0.062,0.761,0.238,-0.605,-0.422,-0.611,0.182,0.005,16,0.13,0.121,0.696,-0.215,-0.432,0.307,-0.804,0.186,0.535,-0.047,0.518,-0.018,0.595,-0.036,-0.774,-0.66,-0.855,0.684,-0.424
1.733,100975,0.156,0.526,0.958,78.1,447.883,224.232,5126.304,136112,0.131,-0.622,0.187,-0.785,-0.658,-0.798,0.33,0.862,0.378,-0.601,0.167,-0.057,0.243,0.186,0.837,26,0.15,0.029,0.196,-0.768,-0.565,0.229,-0.101,0.635,-0.607,-0.073,0.559,-0.711,0.452,0.173,-0.822,0.062,-0.492,-0.042,-0.37
2.114,97118,0.201,0.661,1.0,82.9,455.945,221.953,5066.426,140393,0.284,0.163,-0.466,0.212,-0.463,-0.584,-0.134,-0.68,0.658,-0.224,0.764,0.878,0.82,0.942,0.734,41,0.906,0.114,0.32,0.581,0.02,0.001,0.165,0.396,0.008,0.356,0.593,0.089,0.075,0.069,-0.008,0.294,0.236,-0.468,0.643
1.496,92665,0.2,0.738,0.862,79.8,448.152,216.502,5239.871,137578,0.363,0.2,0.174,-0.048,0.091,0.062,-0.274,-0.988,-0.176,0.364,-0.151,0.602,0.012,0.212,-0.245,16,0.02,0.104,0.677,0.903,0.645,0.08,0.341,-0.002,-0.055,0.013,0.546,0.126,0.019,0.191,-0.057,0.339,0.051,-0.874,0.312
1.612,48461,0.064,0.625,0.421,77.6,375.839,209.633,4942.035,74579,0.391,-0.032,0.094,-0.23,0.191,-0.361,0.396,0.34,0.438,0.434,0.171,0.254,0.052,0.205,0.401,16,0.277,0.082,0.086,-0.207,0.432,0.049,0.033,0.661,0.069,0.449,0.377,0.521,-0.024,0.679,-0.023,0.401,0.028,-1.0,0.212
1.934,107160,0.185,0.637,0.825,80.2,445.351,221.501,5282.143,141881,0.355,-0.247,0.209,0.035,-0.22,-0.434,0.177,0.114,0.466,0.393,0.557,0.252,0.271,0.179,-0.793,19,0.024,0.029,0.143,-0.118,-0.548,0.501,-0.746,0.12,0.043,0.174,0.561,0.227,-0.036,0.156,-0.011,0.242,0.811,-0.89,0.39
1.727,92623,0.19,0.643,0.899,79.6,445.582,220.53,5241.373,146328,0.123,-0.707,0.413,-0.057,-0.411,-0.857,0.003,0.74,0.955,0.976,-0.754,-0.848,-0.863,0.935,1.0,17,-0.032,0.027,0.968,-0.782,0.973,0.245,0.366,-1.0,-0.028,0.937,0.519,-0.941,0.023,-0.705,-0.019,-0.86,1.0,0.901,-0.961
1.808,91902,0.16,0.627,0.888,83.0,460.217,226.315,5415.055,140760,0.223,0.107,0.368,0.123,-0.032,-0.315,0.164,-0.381,0.425,0.775,-0.38,-0.339,-0.453,0.235,0.646,18,0.156,0.105,0.493,0.551,-0.534,0.056,-0.425,0.614,0.289,-0.099,0.579,0.188,1.0,0.708,-0.426,-0.501,0.159,-0.529,0.86
1.896,101750,0.185,0.642,0.845,78.6,446.313,215.521,5511.859,165479,0.163,-0.167,-0.62,-0.372,-0.405,-0.679,0.339,-0.452,0.403,0.938,-0.412,0.425,-0.239,0.154,-0.398,18,-0.012,0.13,0.287,0.008,0.41,0.404,-0.014,0.732,-0.003,0.971,0.588,-0.639,-0.037,0.769,-0.02,0.015,0.868,0.958,0.584
2.337,99581,0.163,0.671,0.874,77.4,448.48,214.754,5317.874,135375,0.118,0.393,-0.811,0.397,0.402,-0.823,0.31,-0.972,1.0,0.208,-0.866,-0.052,-0.875,0.798,1.0,58,0.98,0.089,0.541,1.0,0.304,0.045,-0.07,-0.224,-0.017,-0.532,0.598,-0.791,0.056,-0.732,0.02,-0.962,-0.703,-0.207,-0.517
1.583,99857,0.208,0.601,0.835,79.4,445.363,218.462,5353.2,152470,0.193,-0.041,-0.556,-0.013,-0.799,-0.368,0.062,0.851,0.657,0.814,-0.772,-0.378,0.397,0.463,-0.875,17,0.248,0.075,0.416,-0.847,-0.234,0.048,0.017,0.76,-0.068,0.476,0.592,-0.827,-0.008,0.021,-0.034,-0.746,-1.0,-0.501,-0.367
2.242,94667,0.171,0.638,0.859,78.6,459.481,214.406,5270.859,147897,0.381,0.417,-0.14,-0.361,-0.063,-0.518,-0.135,0.187,0.792,-0.874,-0.359,0.149,0.23,0.212,0.572,23,0.831,0.083,0.474,0.053,0.887,0.068,0.014,1.0,0.01,0.692,0.528,0.716,-0.076,0.731,-0.063,0.367,-0.184,-0.669,0.671
1.977,98982,0.201,0.551,0.935,78.3,473.964,222.615,5193.041,149913,0.117,-0.798,0.377,-0.021,-0.355,-0.809,0.225,1.0,0.965,0.946,-0.848,-0.72,-0.801,0.964,1.0,16,0.041,0.032,0.951,-0.822,1.0,0.783,0.155,-1.0,-0.072,1.0,0.645,-0.987,-0.005,-0.694,0.001,-0.731,0.977,0.786,-0.973
1.783,95665,0.152,0.752,0.891,80.0,460.749,227.468,4902.011,154894,0.27,0.466,0.199,0.381,-0.228,0.401,0.441,-0.235,0.947,0.918,0.018,-0.759,-0.827,0.472,0.022,16,0.119,0.017,0.711,0.288,0.967,0.084,0.379,-0.517,1.0,-0.039,0.573,-0.958,-1.0,0.972,0.961,-0.58,0.972,-1.0,1.0
1.782,89743,0.163,0.668,0.957,80.4,459.789,224.314,5310.695,133507,0.117,-0.657,-0.612,-0.527,-0.633,-0.444,0.497,-0.281,0.288,0.66,-0.005,-0.004,-0.144,0.151,0.061,18,0.044,0.126,0.325,0.182,0.376,0.251,0.402,0.003,0.063,0.349,0.599,0.392,0.027,0.368,0.017,-0.484,0.522,-0.106,0.724
1.0,44365,0.093,0.586,0.451,78.5,395.542,209.974,5052.616,93100,0.354,-0.026,0.438,0.176,0.165,-0.194,0.502,-0.123,0.198,0.631,-0.444,0.063,0.407,0.168,-0.406,19,0.551,0.128,0.227,0.158,-0.216,0.055,0.68,0.973,-0.301,-0.048,0.414,0.602,0.661,0.657,0.227,0.378,0.762,-0.746,0.66
1.54,46869,0.072,0.576,0.502,75.8,406.7,218.069,5046.1,80546,0.334,0.051,0.423,0.207,0.147,-0.258,0.272,-0.064,0.132,0.655,-0.422,-0.079,0.417,0.178,-0.469,18,0.67,0.115,0.32,0.234,-0.179,0.076,0.272,0.89,-0.305,0.033,0.453,0.714,0.716,0.666,0.32,0.466,0.732,-0.652,0.729
1.608,89873,0.176,0.654,0.762,81.9,460.751,218.87,5261.519,157978,0.123,0.19,-0.404,-0.038,0.213,-0.638,0.319,-0.046,0.869,0.281,-0.402,-0.637,-0.342,0.534,0.653,48,0.107,0.118,0.594,-0.022,-0.374,0.008,0.124,1.0,-0.074,0.683,0.538,-0.004,0.076,-0.718,0.0,0.253,0.904,-0.769,0.56
1.84,91014,0.118,0.735,0.808,79.4,416.698,222.19,4865.595,144884,0.369,0.227,-0.55,0.013,-0.155,-0.562,0.401,-1.0,0.515,0.222,-0.466,0.587,0.394,0.214,0.472,19,0.045,0.04,0.192,0.958,-0.429,0.818,-0.008,1.0,-0.017,0.992,0.436,0.908,-0.002,0.924,0.03,-0.502,0.029,-0.349,0.212
1.839,94690,0.19,0.694,0.965,76.8,441.367,216.052,5130.2,146285,0.32,0.461,-0.774,0.429,0.364,0.178,0.156,-0.862,-0.077,-0.003,-0.771,1.0,-0.697,0.545,-0.755,51,0.922,0.025,0.266,0.976,0.999,0.019,-0.143,1.0,-0.075,-0.005,0.487,-0.015,0.99,0.963,0.91,-1.0,0.051,-0.983,0.042
1.484,101268,0.197,0.704,0.794,79.5,446.781,217.204,5041.804,151325,0.29,0.028,0.161,-0.516,-0.292,0.246,0.117,-0.72,0.184,0.41,-0.436,0.946,0.978,0.206,-0.808,19,0.141,0.032,0.295,0.398,0.707,0.473,-0.378,0.485,0.03,0.049,0.56,0.197,0.026,0.601,-0.092,-0.753,-0.025,-1.0,0.892
2.005,95352,0.172,0.611,0.978,79.4,432.58,224.958,5065.57,123706,0.148,-0.231,0.0,0.353,-0.051,-0.608,0.342,0.248,0.373,0.768,0.166,0.515,0.3,0.701,0.052,17,0.271,0.099,0.197,0.067,-0.114,0.653,0.098,0.274,-0.036,0.389,0.532,0.358,-0.052,-0.071,-0.004,-0.173,0.189,-0.693,0.28
1.741,91907,0.166,0.655,0.861,79.0,474.764,221.157,5177.524,136103,0.281,0.182,0.191,-0.072,0.378,-0.068,0.068,-0.666,0.616,0.36,0.225,0.328,0.551,0.246,0.571,19,0.139,0.066,0.868,0.703,0.622,0.047,0.098,0.708,0.49,0.081,0.606,0.681,0.886,0.672,0.143,-0.495,0.045,-0.5,0.501
1.709,85456,0.166,0.694,0.934,78.4,471.639,216.758,5185.554,153740,0.255,0.461,-0.849,0.387,0.338,0.458,0.23,-0.836,-0.896,0.979,0.977,1.0,1.0,0.452,1.0,19,0.256,0.012,0.116,0.401,1.0,0.034,-0.097,0.937,0.95,-0.043,0.609,1.0,0.999,0.983,0.973,1.0,0.922,-1.0,0.955
1.102,94165,0.203,0.597,0.779,77.9,444.066,212.961,5123.452,129316,0.176,0.008,0.189,-0.031,-0.03,-0.466,0.103,-0.866,0.216,-0.212,-0.211,0.17,-0.232,0.562,-0.066,16,-0.012,0.143,0.3,0.831,0.206,0.244,-0.229,0.631,-0.781,0.012,0.492,0.461,0.342,0.352,-0.428,-0.277,0.294,-0.735,0.009
2.06,103201,0.199,0.628,0.936,79.2,462.922,228.893,5234.178,132756,0.105,0.19,-0.143,0.199,-0.028,0.17,0.215,-0.379,0.264,0.117,0.395,0.592,0.456,0.241,-0.229,16,0.156,0.042,0.335,0.21,0.431,0.018,0.948,0.785,0.003,0.703,0.575,0.604,-0.028,0.131,0.01,0.885,0.01,-1.0,0.294
1.617,57882,0.103,0.651,0.66,78.3,374.067,212.361,4631.643,106472,0.354,0.019,-0.345,0.226,0.199,-0.61,0.234,-0.882,0.351,0.138,-0.039,0.638,0.376,0.208,0.431,21,0.633,0.011,0.327,0.665,0.349,0.014,0.022,0.971,-0.092,1.0,0.423,0.521,-0.09,0.753,-0.049,-0.75,-0.264,-0.718,0.457
0.712,46252,0.085,0.534,0.289,78.7,374.952,214.739,4926.169,58358,0.169,-0.064,-0.354,0.313,-0.073,0.05,-0.043,0.161,-0.219,0.336,0.574,-0.008,0.015,0.188,0.72,25,0.675,0.064,0.156,-0.404,0.987,0.006,0.391,1.0,0.579,-0.029,0.415,-0.738,0.762,0.507,0.011,0.811,-0.022,-0.737,-0.03
1.603,91643,0.182,0.589,1.0,80.3,418.219,227.983,5236.476,136538,0.362,0.188,-0.561,0.177,-0.371,0.174,0.092,-0.939,0.56,0.734,0.399,0.01,0.367,0.212,0.608,16,0.134,0.04,0.12,0.791,0.517,0.022,-0.309,0.58,-0.016,0.936,0.524,0.575,-0.049,0.983,-0.006,0.746,0.524,-0.315,0.5
1.918,92200,0.158,0.566,0.752,81.1,456.071,221.614,4958.793,149745,0.315,0.196,-0.59,-0.311,-0.117,-0.846,0.226,-0.126,0.616,1.0,-0.401,-0.773,-0.753,0.226,0.219,20,0.661,0.062,0.103,0.43,-0.58,0.591,0.063,0.371,1.0,0.058,0.614,-0.73,0.762,0.337,-0.698,0.007,0.71,0.038,0.315
1.427,100598,0.161,0.594,0.946,77.2,468.396,214.726,5139.977,147294,0.143,-0.005,0.37,-0.012,0.271,-0.392,-0.285,-0.355,-0.054,0.183,0.226,0.178,0.167,0.192,0.677,19,0.259,0.141,0.579,0.205,0.432,0.008,-0.251,0.7,-0.005,0.445,0.597,0.437,0.058,0.453,0.126,0.228,-0.043,-0.922,-0.099
2.205,40683,0.076,0.566,0.442,79.5,346.326,213.741,4999.202,53209,0.171,-0.02,0.428,0.418,-0.429,-0.411,0.176,-0.858,0.34,0.39,-0.371,0.592,0.484,0.561,-0.134,27,0.152,0.097,0.369,0.58,-0.624,0.097,-0.313,0.939,0.019,0.72,0.343,0.013,0.007,0.94,0.039,0.674,0.327,0.059,-0.335
1.912,89806,0.223,0.539,0.961,81.2,435.69,222.855,5262.726,146322,0.121,-0.015,-0.082,-0.048,0.233,-0.423,-0.095,-0.841,0.392,0.019,0.261,0.212,-0.05,0.22,0.243,23,0.635,0.1,0.296,0.626,0.279,0.04,0.209,0.241,0.381,-0.09,0.535,0.568,0.494,0.373,0.213,-0.33,0.555,-0.585,0.484
2.124,90662,0.157,0.607,0.892,77.7,430.801,220.081,5168.306,138589,0.146,-0.006,0.366,0.012,0.228,-0.389,0.26,0.028,0.017,0.241,0.125,0.243,0.133,0.179,0.492,19,0.201,0.134,0.6,0.167,0.339,0.092,-0.016,0.583,-0.015,0.534,0.541,0.289,-0.019,0.554,0.131,0.173,0.01,-0.972,0.017
1.972,90329,0.155,0.658,0.888,76.7,414.417,218.708,5325.893,134654,0.197,0.473,-0.745,0.407,0.398,-0.86,0.197,-1.0,1.0,0.223,-0.754,-0.04,-0.752,0.725,1.0,52,0.94,0.026,0.634,0.969,0.127,0.04,-0.081,-0.203,0.066,-0.511,0.434,-0.84,0.007,-0.796,-0.029,-0.954,-0.762,-0.188,-0.551
1.829,102084,0.224,0.658,0.869,77.5,462.634,212.358,5304.299,137005,0.139,-0.11,-0.025,0.013,0.209,-0.486,0.178,-0.557,0.378,0.082,0.183,0.049,-0.03,0.248,0.235,21,0.56,0.024,0.232,0.574,0.211,0.078,0.195,0.232,0.273,0.057,0.559,0.434,0.435,0.405,0.304,-0.43,0.512,-0.552,0.428
1.658,50990,0.079,0.532,0.499,79.9,384.456,209.479,4911.609,80044,0.182,0.035,-0.568,0.24,0.234,-0.493,0.081,-0.527,0.433,-0.598,0.033,0.234,0.2,0.554,0.813,40,0.878,0.13,0.462,0.268,0.252,0.07,-0.012,0.663,0.481,0.044,0.418,0.554,0.689,0.53,-0.074,0.04,0.211,-0.685,0.65
0.336,50506,0.104,0.631,0.561,80.8,381.676,217.455,4686.747,82515,0.38,0.196,-0.218,0.196,0.244,0.205,-0.172,-0.089,0.012,0.21,-0.383,0.246,0.184,0.174,0.713,17,0.177,0.032,0.806,0.239,0.484,0.63,-0.078,0.617,-0.019,-0.054,0.448,0.114,-0.06,0.716,-0.007,0.293,-0.037,-0.159,0.284
2.009,99289,0.17,0.688,0.976,78.4,468.577,224.491,5289.503,157262,0.397,0.197,0.228,0.027,0.359,0.009,0.493,-1.0,0.542,0.37,0.171,0.41,0.534,0.212,0.361,19,0.222,0.113,0.796,0.82,0.577,0.047,0.072,0.85,0.45,0.087,0.559,0.668,0.889,0.614,0.158,-0.575,0.067,-0.406,0.532
1.399,46447,0.126,0.597,0.35,80.6,383.289,209.399,5020.379,64557,0.28,-0.02,0.123,-0.29,0.437,-0.239,0.26,0.042,-0.134,-0.095,-0.124,0.013,-0.404,0.211,0.942,34,-0.007,0.039,0.503,0.002,-0.346,0.74,-0.1,1.0,-0.657,-0.018,0.41,0.789,0.927,1.0,-0.022,-0.086,-0.989,-0.293,0.032
2.242,98549,0.157,0.644,0.848,78.3,442.935,219.149,5581.996,147402,0.382,0.225,-0.536,0.152,-0.317,0.245,0.275,-0.877,0.626,0.804,0.438,-0.028,0.463,0.244,0.499,17,0.269,0.076,0.086,0.716,0.598,0.041,0.114,0.539,0.048,0.837,0.493,0.645,0.084,0.996,-0.026,0.753,0.61,-0.369,0.612
0.97,42613,0.04,0.62,0.254,77.3,372.861,213.976,5038.309,69243,0.204,0.048,-0.656,0.183,0.244,0.173,0.152,-0.776,0.387,0.443,0.021,0.425,0.25,0.246,-0.0,17,0.244,0.064,0.207,0.415,0.591,0.758,-0.657,1.0,-0.104,0.65,0.4,0.663,-0.063,0.477,0.059,-0.27,1.0,-0.914,0.72
